AMBITO,VARIABLE,PERIODO,TOTAL,Hombres,Mujeres
Tenerife,15 a 64,2010,650629,326439,324190
Tenerife,15 a 64,2009,649115,326034,323081
Tenerife,15 a 64,2008,641332,322573,318759
Tenerife,15 a 64,2007,628841,316535,312306
Tenerife,15 a 64,2006,620935,313225,307710
Tenerife,15 a 64,2005,611589,308814,302775
Tenerife,15 a 64,2004,589269,297054,292215
Tenerife,15 a 64,2003,577145,290602,286543
Tenerife,15 a 64,2002,560388,281666,278722
Tenerife,15 a 64,2001,536275,268871,267404
Tenerife,15 a 64,2000,512513,255591,256922
Tenerife,15 a 19,2020,46431,23958,22473
Tenerife,15 a 19,2019,46300,23964,22336
Tenerife,15 a 19,2018,45098,23386,21712
Tenerife,15 a 19,2017,44301,22853,21448
Tenerife,15 a 19,2016,43409,22283,21126
Tenerife,15 a 19,2015,42822,22053,20769
Tenerife,15 a 19,2014,42256,21680,20576
Tenerife,15 a 19,2013,42397,21733,20664
Tenerife,15 a 19,2012,44248,22845,21403
Tenerife,15 a 19,2011,46396,23899,22497
Tenerife,15 a 19,2010,47742,24546,23196
Tenerife,15 a 19,2009,48874,25037,23837
Tenerife,15 a 19,2008,49469,25203,24266
Tenerife,15 a 19,2007,49382,25030,24352
Tenerife,15 a 19,2006,50055,25262,24793
Tenerife,15 a 19,2005,49952,25228,24724
Tenerife,15 a 19,2004,49482,24967,24515
Tenerife,15 a 19,2003,50115,25291,24824
Tenerife,15 a 19,2002,50881,25635,25246
Tenerife,15 a 19,2001,51569,25915,25654
Tenerife,15 a 19,2000,52770,26501,26269
Tenerife,20 a 24,2020,49604,24831,24773
Tenerife,20 a 24,2019,48366,24337,24029
Tenerife,20 a 24,2018,47771,24043,23728
Tenerife,20 a 24,2017,47855,24114,23741
Tenerife,20 a 24,2016,47954,24162,23792
Tenerife,20 a 24,2015,48677,24392,24285
Tenerife,20 a 24,2014,49581,24849,24732
Tenerife,20 a 24,2013,50005,25054,24951
Tenerife,20 a 24,2012,51101,25559,25542
Tenerife,20 a 24,2011,54898,27205,27693
Tenerife,20 a 24,2010,55996,27652,28344
Tenerife,20 a 24,2009,57297,28244,29053
Tenerife,20 a 24,2008,58113,28671,29442
Tenerife,20 a 24,2007,58867,29144,29723
Tenerife,20 a 24,2006,60769,30284,30485
Tenerife,20 a 24,2005,62654,31177,31477
Tenerife,20 a 24,2004,63298,31572,31726
Tenerife,20 a 24,2003,64111,32007,32104
Tenerife,20 a 24,2002,64120,32236,31884
Tenerife,20 a 24,2001,63152,32076,31076
Tenerife,20 a 24,2000,61990,31345,30645
Tenerife,25 a 29,2020,56886,28371,28515
Tenerife,25 a 29,2019,56881,28354,28527
Tenerife,25 a 29,2018,56494,28109,28385
Tenerife,25 a 29,2017,56061,27850,28211
Tenerife,25 a 29,2016,56715,27849,28866
Tenerife,25 a 29,2015,57277,28081,29196
Tenerife,25 a 29,2014,58351,28498,29853
Tenerife,25 a 29,2013,59946,29425,30521
Tenerife,25 a 29,2012,62349,30545,31804
Tenerife,25 a 29,2011,67366,33132,34234
Tenerife,25 a 29,2010,71384,35190,36194
Tenerife,25 a 29,2009,74799,37109,37690
Tenerife,25 a 29,2008,76322,38014,38308
Tenerife,25 a 29,2007,76763,38595,38168
Tenerife,25 a 29,2006,77947,39561,38386
Tenerife,25 a 29,2005,78436,40028,38408
Tenerife,25 a 29,2004,76334,38927,37407
Tenerife,25 a 29,2003,75936,38728,37208
Tenerife,25 a 29,2002,74696,37973,36723
Tenerife,25 a 29,2001,71004,36056,34948
Tenerife,25 a 29,2000,67621,34236,33385
Tenerife,30 a 34,2020,61881,30568,31313
Tenerife,30 a 34,2019,61733,30449,31284
Tenerife,30 a 34,2018,61881,30576,31305
Tenerife,30 a 34,2017,62988,30990,31998
Tenerife,30 a 34,2016,65496,32261,33235
Tenerife,30 a 34,2015,68398,33844,34554
Tenerife,30 a 34,2014,72027,35739,36288
Tenerife,30 a 34,2013,75164,37446,37718
Tenerife,30 a 34,2012,78006,39229,38777
Tenerife,30 a 34,2011,81190,41096,40094
Tenerife,30 a 34,2010,83010,42165,40845
Tenerife,30 a 34,2009,83934,42798,41136
Tenerife,30 a 34,2008,84312,43114,41198
Tenerife,30 a 34,2007,83499,42660,40839
Tenerife,30 a 34,2006,82990,42662,40328
Tenerife,30 a 34,2005,82055,42276,39779
Tenerife,30 a 34,2004,78677,40333,38344
Tenerife,30 a 34,2003,76036,38935,37101
Tenerife,30 a 34,2002,73470,37363,36107
Tenerife,30 a 34,2001,69452,34920,34532
Tenerife,30 a 34,2000,65637,32587,33050
Tenerife,35 a 39,2020,71574,35546,36028
Tenerife,35 a 39,2019,73394,36483,36911
Tenerife,35 a 39,2018,74874,37335,37539
Tenerife,35 a 39,2017,76198,38339,37859
Tenerife,35 a 39,2016,78136,39554,38582
Tenerife,35 a 39,2015,80045,40585,39460
Tenerife,35 a 39,2014,81737,41598,40139
Tenerife,35 a 39,2013,83715,42688,41027
Tenerife,35 a 39,2012,84198,42908,41290
Tenerife,35 a 39,2011,84576,43225,41351
Tenerife,35 a 39,2010,84498,43332,41166
Tenerife,35 a 39,2009,83508,42844,40664
Tenerife,35 a 39,2008,81499,41863,39636
Tenerife,35 a 39,2007,79480,40754,38726
Tenerife,35 a 39,2006,78292,39938,38354
Tenerife,35 a 39,2005,76962,39083,37879
Tenerife,35 a 39,2004,74559,37705,36854
Tenerife,35 a 39,2003,73003,36880,36123
Tenerife,35 a 39,2002,70212,35245,34967
Tenerife,35 a 39,2001,65607,32779,32828
Tenerife,35 a 39,2000,61500,30519,30981
Tenerife,40 a 44,2020,81859,41323,40536
Tenerife,40 a 44,2019,82378,41711,40667
Tenerife,40 a 44,2018,82558,41882,40676
Tenerife,40 a 44,2017,82492,41828,40664
Tenerife,40 a 44,2016,82286,41871,40415
Tenerife,40 a 44,2015,81752,41696,40056
Tenerife,40 a 44,2014,81328,41450,39878
Tenerife,40 a 44,2013,80718,41143,39575
Tenerife,40 a 44,2012,79789,40694,39095
Tenerife,40 a 44,2011,79760,40349,39411
Tenerife,40 a 44,2010,79220,39985,39235
Tenerife,40 a 44,2009,78658,39761,38897
Tenerife,40 a 44,2008,77266,39204,38062
Tenerife,40 a 44,2007,75045,37872,37173
Tenerife,40 a 44,2006,72816,36722,36094
Tenerife,40 a 44,2005,70493,35602,34891
Tenerife,40 a 44,2004,66190,33402,32788
Tenerife,40 a 44,2003,63180,31762,31418
Tenerife,40 a 44,2002,59894,30193,29701
Tenerife,40 a 44,2001,56004,28122,27882
Tenerife,40 a 44,2000,51948,25947,26001
Tenerife,45 a 49,2020,83534,42318,41216
Tenerife,45 a 49,2019,81766,41383,40383
Tenerife,45 a 49,2018,79464,40171,39293
Tenerife,45 a 49,2017,78058,39458,38600
Tenerife,45 a 49,2016,77089,38781,38308
Tenerife,45 a 49,2015,76454,38322,38132
Tenerife,45 a 49,2014,76299,38277,38022
Tenerife,45 a 49,2013,76401,38458,37943
Tenerife,45 a 49,2012,75128,37693,37435
Tenerife,45 a 49,2011,74219,37050,37169
Tenerife,45 a 49,2010,72493,36348,36145
Tenerife,45 a 49,2009,69793,34991,34802
Tenerife,45 a 49,2008,66733,33440,33293
Tenerife,45 a 49,2007,63523,31981,31542
Tenerife,45 a 49,2006,60923,30698,30225
Tenerife,45 a 49,2005,58104,29340,28764
Tenerife,45 a 49,2004,55183,27737,27446
Tenerife,45 a 49,2003,53076,26633,26443
Tenerife,45 a 49,2002,50125,25055,25070
Tenerife,45 a 49,2001,47050,23443,23607
Tenerife,45 a 49,2000,44073,22030,22043
Tenerife,50 a 54,2020,77566,38375,39191
Tenerife,50 a 54,2019,76494,37896,38598
Tenerife,50 a 54,2018,74732,37115,37617
Tenerife,50 a 54,2017,73010,36180,36830
Tenerife,50 a 54,2016,71132,35285,35847
Tenerife,50 a 54,2015,68942,34245,34697
Tenerife,50 a 54,2014,66382,32979,33403
Tenerife,50 a 54,2013,64637,32144,32493
Tenerife,50 a 54,2012,62462,31110,31352
Tenerife,50 a 54,2011,62211,31017,31194
Tenerife,50 a 54,2010,59930,29850,30080
Tenerife,50 a 54,2009,58035,28750,29285
Tenerife,50 a 54,2008,55872,27712,28160
Tenerife,50 a 54,2007,53012,26319,26693
Tenerife,50 a 54,2006,50942,25375,25567
Tenerife,50 a 54,2005,49122,24626,24496
Tenerife,50 a 54,2004,46783,23602,23181
Tenerife,50 a 54,2003,45205,22881,22324
Tenerife,50 a 54,2002,43595,22013,21582
Tenerife,50 a 54,2001,41439,20915,20524
Tenerife,50 a 54,2000,39814,19929,19885
Tenerife,55 a 59,2020,69175,33871,35304
Tenerife,55 a 59,2019,65721,32224,33497
Tenerife,55 a 59,2018,62450,30573,31877
Tenerife,55 a 59,2017,59891,29378,30513
Tenerife,55 a 59,2016,57880,28370,29510
Tenerife,55 a 59,2015,55850,27444,28406
Tenerife,55 a 59,2014,54675,26737,27938
Tenerife,55 a 59,2013,54201,26560,27641
Tenerife,55 a 59,2012,52497,25744,26753
Tenerife,55 a 59,2011,51868,25449,26419
Tenerife,55 a 59,2010,50846,25077,25769
Tenerife,55 a 59,2009,49356,24504,24852
Tenerife,55 a 59,2008,47743,23879,23864
Tenerife,55 a 59,2007,46300,23127,23173
Tenerife,55 a 59,2006,44891,22433,22458
Tenerife,55 a 59,2005,43898,21857,22041
Tenerife,55 a 59,2004,42325,21086,21239
Tenerife,55 a 59,2003,41785,20651,21134
Tenerife,55 a 59,2002,40746,20118,20628
Tenerife,55 a 59,2001,38599,19070,19529
Tenerife,55 a 59,2000,36484,17956,18528
Tenerife,60 a 64,2020,55376,26822,28554
Tenerife,60 a 64,2019,53254,25606,27648
Tenerife,60 a 64,2018,51444,24811,26633
Tenerife,60 a 64,2017,49388,23837,25551
Tenerife,60 a 64,2016,48014,23254,24760
Tenerife,60 a 64,2015,46696,22697,23999
Tenerife,60 a 64,2014,45945,22459,23486
Tenerife,60 a 64,2013,45926,22554,23372
Tenerife,60 a 64,2012,45644,22312,23332
Tenerife,60 a 64,2011,45697,22430,23267
Tenerife,60 a 64,2010,45510,22294,23216
Tenerife,60 a 64,2009,44861,21996,22865
Tenerife,60 a 64,2008,44003,21473,22530
Tenerife,60 a 64,2007,42970,21053,21917
Tenerife,60 a 64,2006,41310,20290,21020
Tenerife,60 a 64,2005,39913,19597,20316
Tenerife,60 a 64,2004,36438,17723,18715
Tenerife,60 a 64,2003,34698,16834,17864
Tenerife,60 a 64,2002,32649,15835,16814
Tenerife,60 a 64,2001,32399,15575,16824
Tenerife,60 a 64,2000,30676,14541,16135
Tenerife,65 o mas,2020,153477,67482,85995
Tenerife,65 o mas,2019,148632,65456,83176
Tenerife,65 o mas,2018,144452,63575,80877
Tenerife,65 o mas,2017,141067,62010,79057
Tenerife,65 o mas,2016,138741,61194,77547
Tenerife,65 o mas,2015,136427,60123,76304
Tenerife,65 o mas,2014,135238,59696,75542
Tenerife,65 o mas,2013,137467,61092,76375
Tenerife,65 o mas,2012,136181,60564,75617
Tenerife,65 o mas,2011,132819,59105,73714
Tenerife,65 o mas,2010,129206,57527,71679
Tenerife,65 o mas,2009,124061,54983,69078
Tenerife,65 o mas,2008,118923,52617,66306
Tenerife,65 o mas,2007,113899,50214,63685
Tenerife,65 o mas,2006,110947,48736,62211
Tenerife,65 o mas,2005,106474,46497,59977
Tenerife,65 o mas,2004,102868,44840,58028
Tenerife,65 o mas,2003,101598,44341,57257
Tenerife,65 o mas,2002,98039,42568,55471
Tenerife,65 o mas,2001,94844,41088,53756
Tenerife,65 o mas,2000,87113,37404,49709
Tenerife,65 a 69,2020,45561,21718,23843
Tenerife,65 a 69,2019,44067,21202,22865
Tenerife,65 a 69,2018,42689,20636,22053
Tenerife,65 a 69,2017,41816,20178,21638
Tenerife,65 a 69,2016,41259,19898,21361
Tenerife,65 a 69,2015,41313,19831,21482
Tenerife,65 a 69,2014,41374,19897,21477
Tenerife,65 a 69,2013,42187,20212,21975
Tenerife,65 a 69,2012,42246,20280,21966
Tenerife,65 a 69,2011,41347,19978,21369
Tenerife,65 a 69,2010,40845,19795,21050
Tenerife,65 a 69,2009,38088,18394,19694
Tenerife,65 a 69,2008,36009,17349,18660
Tenerife,65 a 69,2007,33897,16329,17568
Tenerife,65 a 69,2006,33762,16092,17670
Tenerife,65 a 69,2005,32605,15424,17181
