FID,NOMBRE,TIPO,GEOCODIGO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
69.0,CANCHA DE BOLAS Y PETANCA DE LAS CABRITAS,Instalaciones deportivas,DEP_070,374435.566622,3147583.27814,-16.2823597638,28.4487454308
70.0,CANCHA DE BOLAS Y PETANCA DE MARIA JIMENEZ,Instalaciones deportivas,DEL_071,379941.082521,3152776.54916,-16.2266853787,28.496130819
71.0,CANCHA DE BOLAS Y PETANCA DE CHIMISAY ALTO,Instalaciones deportivas,DEP_072,374340.191451,3148474.6356,-16.2834307549,28.4567802387
72.0,CANCHA DE BOLAS Y PETANCA DE CAMINO DEL HIERRO,Instalaciones deportivas,DEP_073,374719.79093,3148668.24415,-16.2795755399,28.4585639611
73.0,POLIDEPORTIVO CUEVA BERMEJA,Instalaciones deportivas,DEP_074,381056.018323,3152748.45578,-16.2152928858,28.4959796033
74.0,CANCHA DE BOLAS Y PETANCA DE CUEVA BERMEJA,Instalaciones deportivas,DEP_075,381026.048233,3152720.43612,-16.2155961465,28.4957239991
75.0,CANCHA DE BOLAS Y PETANCA DE EL SOBRADILLO,Instalaciones deportivas,DEP_076,371077.605554,3146833.25977,-16.3165626574,28.4416495604
76.0,CANCHA DE BOLAS Y PETANCA DE CHIMISAY BAJO,Instalaciones deportivas,DEP_077,374539.89096,3148283.76518,-16.2813707631,28.4550769656
77.0,CANCHA DE BOLAS Y PETANCAS DE VISTABELLA,Instalaciones deportivas,DEP_078,374082.157842,3149010.27975,-16.2861241636,28.4615892259
78.0,"CAMPO DE FUTBOL ""JUAN SANTAMARÍA LEMOS""",Instalaciones deportivas,DEP_079,376680.374142,3149028.5009,-16.259593265,28.4620019495
79.0,COMPLEJO DEPORTIVO BARRANCO DE SANTOS,Instalaciones deportivas,DEP_080,376907.519831,3149319.1503,-16.2573046928,28.4646463764
80.0,ROCODROMO DE OFRA,Instalaciones deportivas,DEP_081,374235.03126,3148777.62285,-16.2845376494,28.4595043861
81.0,CAMPO DE FUTBOL LA ALEGRIA,Instalaciones deportivas,DEP_082,378071.075512,3151414.33671,-16.2456439057,28.4836637719
82.0,CAMPO DE  DEPORTES SOMOSIERRA,Instalaciones deportivas,DEP_083,375412.108533,3148617.62672,-16.2725003738,28.4581734833
83.0,ESTADIO DE TINCER,Instalaciones deportivas,DEP_084,372025.361996,3147319.08527,-16.3069400897,28.4461270948
84.0,CAMPO DE FUTBOL EN BARRANCO GRANDE,Instalaciones deportivas,DEP_085,372356.06187,3146386.28505,-16.3034603256,28.4377415515
85.0,AREA DEPORTIVA EL TABLERO,Instalaciones deportivas,DEP_086,369930.563622,3144140.01866,-16.3279702745,28.4172311499
86.0,AREA DEPORTIVA EL SOBRADILLO,Instalaciones deportivas,DEP_087,371099.316264,3147210.76463,-16.3163831786,28.4450584295
87.0,CAMPO DE FUTBOL LLANO DEL MORO,Instalaciones deportivas,DEP_088,369848.964372,3147615.48172,-16.3291951169,28.4485866036
88.0,AREA DEPORTIVA EN LA GALLEGA,Instalaciones deportivas,DEP_089,370497.311182,3146092.59712,-16.3224042334,28.4349081458
89.0,CAMPO DE FUTBOL DE MARIA JIMENEZ,Instalaciones deportivas,DEP_090,380020.224784,3152649.19161,-16.2258636234,28.4949887663
90.0,PISTAS DE PADEL LA DARSENA1,Instalaciones deportivas,DEP_091,382293.885421,3153177.6048,-16.2026913717,28.4999649983
91.0,PISTAS DE PADEL LA DARSENA2,Instalaciones deportivas,DEP_092,382387.83825,3153146.94588,-16.2017284238,28.4996968028
92.0,AREA DEPORTIVA EN SAN ANDRES,Instalaciones deportivas,DEP_093,383070.350285,3153903.16049,-16.1948328453,28.5065828576
93.0,AREA DEPORTIVA EN EL SUCULUM,Instalaciones deportivas,DEP_094,383603.756948,3154495.29643,-16.1894432063,28.5119744983
94.0,CENTRO DEPORTIVO LAS RETAMAS - OFRA,Instalaciones deportivas,DEP_095,373812.986418,3147923.38641,-16.2887539296,28.4517546459
