FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,TOTAL,AREA,UTM_X,UTM_Y,GRAD_X,GRAD_Y
33,34,BARRIO NUEVO,11,CENTRO - IFARA,29,24,28,22,29,58,39,41,56,68,78,68,35,35,33,20,14,11,3,0,1,692,26,20,21,27,44,43,45,36,44,55,63,57,39,32,29,30,20,22,10,2,1,666,1358,279071,375865,3150363,-16,28
34,35,LA SALUD,54,SALUD - LA SALLE,178,207,253,271,271,329,325,419,428,467,455,422,344,242,223,170,150,99,25,5,10,5293,169,181,211,240,308,314,328,379,398,468,476,408,331,309,314,286,296,224,78,17,3,5738,11031,687496,375271,3150117,-16,28
35,36,BUENAVISTA,12,SALUD - LA SALLE,50,58,72,93,95,106,117,140,129,133,141,129,134,98,78,57,56,25,9,2,4,1726,68,57,59,87,93,126,132,145,145,141,147,161,147,125,99,81,78,60,21,7,3,1982,3708,126562,375874,3149543,-16,28
36,37,CRUZ DEL SEÑOR,25,SALUD - LA SALLE,46,57,65,93,108,124,107,124,148,135,140,132,142,111,75,58,46,23,13,3,1,1751,64,61,71,87,106,108,122,138,157,166,167,202,159,104,117,77,89,65,23,8,2,2093,3844,115175,375416,3149202,-16,28
37,38,CUESTA PIEDRA,27,SALUD - LA SALLE,10,10,16,11,17,21,18,16,22,16,18,15,28,15,11,6,4,1,0,0,0,255,9,7,6,16,10,13,14,16,15,17,21,23,28,14,11,9,7,7,6,0,1,250,505,39147,374701,3149672,-16,28
38,39,EL PERU,49,SALUD - LA SALLE,60,75,90,96,133,183,173,168,183,184,214,190,177,156,107,90,49,31,10,2,1,2372,86,80,90,119,144,157,180,203,175,179,253,250,252,180,160,103,75,53,28,3,0,2770,5142,296718,375286,3149471,-16,28
39,40,VILLA BENITEZ,77,OFRA - COSTA SUR,9,16,28,25,28,18,41,30,32,42,44,43,28,37,33,22,17,10,0,0,0,503,15,22,24,22,31,31,32,32,40,36,40,41,40,38,32,35,14,12,8,3,1,549,1052,223078,374621,3149257,-16,28
40,41,LOS GLADIOLOS,34,SALUD - LA SALLE,98,112,160,143,179,206,249,312,340,397,390,319,218,192,195,141,90,52,14,2,5,3814,89,91,112,134,149,207,221,240,280,294,274,242,279,284,281,232,176,110,46,12,1,3754,7568,397503,375822,3148851,-16,28
41,42,SOMOSIERRA,62,OFRA - COSTA SUR,42,61,67,72,56,83,76,108,132,91,111,124,104,77,50,41,35,22,9,2,0,1363,46,39,68,61,62,82,95,108,102,87,127,108,105,83,85,77,75,68,33,6,2,1519,2882,192298,375607,3148502,-16,28
42,43,CHIMISAY,23,OFRA - COSTA SUR,47,41,49,53,56,59,72,93,132,109,110,101,63,70,87,67,52,19,5,2,2,1289,37,45,49,50,70,61,64,90,134,98,109,103,102,121,138,111,66,37,11,3,1,1500,2789,183880,374486,3148484,-16,28
43,44,LAS DELICIAS,29,OFRA - COSTA SUR,37,57,68,85,65,80,95,117,125,137,120,109,112,80,93,45,31,19,8,1,2,1486,43,44,64,63,74,68,88,108,114,107,108,131,117,114,110,80,71,39,16,5,2,1566,3052,328582,374500,3148002,-16,28
44,45,TIO PINO,68,OFRA - COSTA SUR,14,17,22,21,24,33,33,32,38,42,42,65,46,24,18,12,15,10,5,1,0,514,14,21,21,23,24,25,32,26,38,38,61,57,37,24,19,34,53,31,8,2,1,589,1103,87047,375344,3148819,-16,28
45,46,MIRAMAR,46,OFRA - COSTA SUR,24,20,33,27,32,39,39,67,49,67,70,63,45,38,42,25,27,19,2,0,2,730,12,24,32,37,44,34,38,54,51,51,56,61,46,64,56,48,48,37,10,1,1,805,1535,78387,374928,3148235,-16,28
46,47,CESAR CASARIEGO,19,OFRA - COSTA SUR,66,59,85,97,112,110,118,158,180,158,156,116,108,120,121,76,40,20,4,1,0,1905,48,55,73,92,76,91,122,149,168,144,166,134,164,191,149,89,59,35,11,3,0,2019,3924,156618,374154,3148578,-16,28
47,48,JUAN XXIII,38,OFRA - COSTA SUR,15,15,28,31,33,46,39,33,52,53,44,59,46,20,18,21,21,11,4,3,1,593,20,14,24,25,27,29,24,41,33,35,47,47,38,19,28,36,33,25,3,2,1,551,1144,33753,374085,3147673,-16,28
48,49,LAS RETAMAS,50,OFRA - COSTA SUR,15,10,17,12,20,23,18,21,27,32,35,19,11,16,33,19,20,10,1,0,0,359,13,6,22,17,19,20,14,26,39,43,24,14,24,31,48,32,16,10,3,0,1,422,781,45311,373958,3147841,-16,28
49,50,NUEVO OBRERO,48,OFRA - COSTA SUR,47,67,83,97,98,90,110,129,130,116,110,104,97,109,64,32,23,6,1,0,1,1514,46,69,77,89,91,93,101,134,143,129,115,123,148,112,91,41,31,21,3,1,2,1660,3174,179910,373739,3147709,-16,28
50,51,CHAMBERI,20,OFRA - COSTA SUR,13,15,20,16,29,25,30,32,28,40,30,29,19,22,9,15,17,3,1,1,1,395,16,17,6,15,17,28,31,26,28,33,37,27,18,19,23,14,25,9,3,2,0,394,789,318773,375214,3147708,-16,28
51,52,AÑAZA,7,SUROESTE,212,248,309,275,318,333,342,382,369,368,322,340,244,149,84,42,30,13,2,0,2,4384,193,230,273,282,287,334,342,371,362,448,462,419,283,180,119,71,61,34,10,0,1,4762,9146,1290810,372817,3144943,-16,28
52,53,TINCER,67,SUROESTE,64,58,72,81,71,86,103,109,107,113,118,100,86,56,42,37,21,14,5,1,1,1345,57,42,61,56,82,104,109,117,91,121,122,109,93,72,48,58,48,30,8,2,2,1432,2777,408114,372272,3147097,-16,28
53,54,BARRANCO GRANDE,10,SUROESTE,190,239,270,229,224,224,252,367,428,388,301,237,183,151,101,81,58,22,7,1,2,3955,168,214,254,233,177,226,244,405,464,394,277,266,188,153,139,111,90,38,13,6,1,4061,8016,2068455,371961,3146112,-16,28
54,55,EL SOBRADILLO,61,SUROESTE,231,293,330,367,297,299,321,424,518,492,422,304,205,144,106,74,56,21,6,1,4,4915,199,284,320,299,270,302,345,499,578,540,489,312,258,178,126,111,79,61,16,7,0,5273,10188,2247014,370881,3147067,-16,28
55,56,SANTA MARIA DEL MAR,60,SUROESTE,15,24,17,22,21,28,23,25,44,34,39,29,31,15,15,19,14,4,1,1,0,421,13,16,26,26,16,30,25,29,32,45,36,23,21,16,26,24,35,16,7,1,0,463,884,371300,371794,3144842,-16,28
